keys,en,de
INS_BST,"if(root_ptr == nullptr){\n\troot_ptr = std::make_shared<TreeNode>(data);\n\treturn;\n}\n\nif(root_ptr->data > data){\n\tinsert(root_ptr->left_child_ptr, data);\n} else{\n\tinsert(root_ptr->right_child_ptr, data);\n}","if(root_ptr == nullptr){\n\troot_ptr = std::make_shared<TreeNode>(data);\n\treturn;\n}\n\nif(root_ptr->data > data){\n\tinsert(root_ptr->left_child_ptr, data);\n} else{\n\tinsert(root_ptr->right_child_ptr, data);\n}"
,,
INORDER,"if current == nullptr do\n\treturn F\n\nCreate empty sequence F, F_left, F_right\n\nF_left = inorder(current->node.left)\nF_right = inorder(current->node.right)\n\ninsert F_left behind F\nappend current.data to sequence\ninsert F_right behind F\n\nreturn F\n","Create empty sequence F, F_left, F_right\n\nif current == null do\n\treturn F\n\nleft_sequence = inorder(left_child)\nright_sequence = inorder(right_child)\n\ninsert left_sequence behind sequence\nappend current.data to sequence\ninsert right_sequence behind sequence\n\nreturn sequence\n"
